,logits,pred_label,label
0,0.5082933902740479,1,1
1,0.7006613612174988,1,1
2,0.6611330509185791,1,1
3,0.6493451595306396,1,1
4,0.9860514402389526,1,1
5,0.6569519639015198,1,1
6,0.4432774782180786,0,1
7,0.4770866632461548,0,1
8,0.6866414546966553,1,1
9,0.6759017109870911,1,1
10,0.6439549326896667,1,1
11,0.6713142991065979,1,1
12,0.5895968079566956,1,1
13,0.6126990914344788,1,1
14,0.9767186641693115,1,1
15,0.536064863204956,1,1
16,0.5978657603263855,1,1
17,0.5889393091201782,1,1
18,0.5681677460670471,1,1
19,0.9861887097358704,1,1
20,0.6569519639015198,1,1
21,0.4539942443370819,0,1
22,0.5060821771621704,1,1
23,0.5795586109161377,1,1
24,0.6155515909194946,1,1
25,0.9234936237335205,1,1
26,0.6154227256774902,1,1
27,0.9573972821235657,1,1
28,0.9049018025398254,1,1
29,0.9058811664581299,1,1
30,0.6706217527389526,1,1
31,0.8597192168235779,1,1
32,0.8453426361083984,1,1
33,0.6923359036445618,1,1
34,0.8799079656600952,1,1
35,0.8943763375282288,1,1
36,0.9410731792449951,1,1
37,0.6368076205253601,1,1
38,0.6058018207550049,1,1
39,0.26662394404411316,0,0
40,0.3256610929965973,0,0
41,0.14961589872837067,0,0
42,0.19679449498653412,0,0
43,0.3032858967781067,0,0
44,0.6527687907218933,1,0
45,0.6237432360649109,1,0
46,0.5560782551765442,1,1
47,0.5379992723464966,1,1
48,0.5875970125198364,1,1
49,0.51422518491745,1,1
50,0.20121078193187714,0,1
51,0.18302959203720093,0,1
52,0.15404407680034637,0,1
53,0.09469960629940033,0,1
54,0.3541344404220581,0,1
55,0.5091691017150879,1,1
56,0.14794567227363586,0,1
57,0.19499938189983368,0,1
58,0.354347825050354,0,1
59,0.5270136594772339,1,1
60,0.32896509766578674,0,1
61,0.33214375376701355,0,1
62,0.5249388813972473,1,1
63,0.1600724160671234,0,1
64,0.3007536232471466,0,1
65,0.0886852964758873,0,1
66,0.5411149263381958,1,1
67,0.11849213391542435,0,1
68,0.3725389838218689,0,1
